Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
Non-metastatic castration-resistant prostate cancer,<Prostatic Neoplasms>,,Castration-resistant prostate cancer,<Prostatic Neoplasms>,,"Bayer Yakuhin, Ltd.",Bayer,
treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy,<Plaque Psoriasis>,,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy,<Plaque Psoriasis>,,UCB Pharma S.A.,UCB,
management of breakthrough pain in adults with cancer who are already receiving maintenance opioid therapy for chronic pain,<Cancer>,,management of breakthrough pain in adults with cancer who are already receiving maintenance opioid therapy for chronic pain,<Cancer>,,AstraZeneca Pty Ltd,AstraZeneca,
treatment of patients 12 months of age and older with a genetically confirmed diagnosis of Hutchinson-Gilford Progeria Syndrome or a processing-deficient Progeroid Laminopathy associated with either a heterozygous LMNA mutation with progerin-like protein accumulation or a homozygous or compound heterozygous ZMPSTE24 mutation,<Hutchinson-Gilford Progeria Syndrome>; <Progeroid Laminopathy>,,to reduce the risk of mortality in patients 12 months of age or older with Hutchinson-Gilford Progeria Syndrome; for the treatment of Progeroid Laminopathies in patients 12 months of age or older with a processing-deficient mutation in LMNA or ZMPSTE24,<Hutchinson-Gilford Progeria Syndrome>; <Progeroid Laminopathies>,,EigerBio Europe Limited,EigerBio,
"INTELENCE, in combination with a boosted protease inhibitor and other antiretroviral medicinal products, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in antiretroviral treatment-experienced adult patients.",<Human Immunodeficiency Virus>,,"[INVENTED NAME], in combination with other antiretroviral medicinal products, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in antiretroviral treatment-experienced adult patients, including those with non-nucleoside reverse transcriptase inhibitor (NNRTI) resistance.",<Human Immunodeficiency Virus>,,Janssen-Cilag International NV,Janssen-Cilag,
Ultomiris is used in the treatment of adult and paediatric patients with a body weight of 10 kg or above with paroxysmal nocturnal haemoglobinuria (PNH): in patients with haemolysis with one or more clinical symptom(s) indicative of high disease activity; in patients who are clinically stable after having been treated with eculizumab for at least the past 6 months.,<Paroxysmal Nocturnal Hemoglobinuria>,,Ultomiris is indicated in the treatment of adult and paediatric patients with a body weight of 10 kg or above with paroxysmal nocturnal haemoglobinuria (PNH): in patients with haemolysis with clinical symptom(s) indicative of high disease activity; in patients who are clinically stable after having been treated with eculizumab for at least the past 6 months.,<Paroxysmal Nocturnal Hemoglobinuria>,,Alexion Pharma GmbH,Alexion,
Thrombolytic treatment of acute ischaemic stroke. Treatment must be started as early as possible within 4.5 hours after onset of stroke symptoms and after exclusion of intracranial haemorrhage by appropriate imaging techniques.,<Ischemic Stroke>,,Thrombolytic treatment of acute ischaemic stroke with an extended treatment window from 0-3 hours to 0-4.5 hours after onset of symptoms.,"<Stroke, Ischemic>",,Boehringer Ingelheim Pty Ltd,Boehringer Ingelheim,
Treatment of locally advanced or metastatic breast cancer and non-small cell lung cancer,<Breast Neoplasms>; <Non-Small Cell Lung Carcinoma>,,Treatment of locally advanced or metastatic breast cancer and non-small cell lung cancer,<Breast Neoplasms>; <Lung Neoplasms>,,Not reported,Not Reported,
"Bortezomib SUN as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib SUN in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib SUN in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib SUN in combination with rituximab, cyclophosphamide, doxorubicin and prednisone is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma who are unsuitable for haematopoietic stem cell transplantation.",<Multiple Myeloma>; <Mantle Cell Lymphoma>,,"Bortezomib SUN as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib SUN in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib SUN in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high-dose chemotherapy with haematopoietic stem cell transplantation.",<Multiple Myeloma>,,SUN Pharmaceutical Industries (Europe) B.V.,SUN,
treatment of adult patients with macular oedema following either Branch Retinal Vein Occlusion (BRVO) or Central Retinal Vein Occlusion (CRVO),<Macular Edema>; <Retinal Vein Occlusion>,,treatment of adult patients with macular oedema following either Branch Retinal Vein Occlusion (BRVO) or Central Retinal Vein Occlusion (CRVO),<Macular Edema>; <Retinal Vein Occlusion>,,Allergan Pharmaceuticals Ireland,Allergan,
Breast cancer; Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,<Breast Neoplasms>; <Stomach Neoplasms>,,Breast cancer; Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,<Breast Neoplasms>; <Stomach Neoplasms>,,Samsung Bioepis UK Limited,Samsung,
Prevention of the relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),<Neuromyelitis Optica Spectrum Disorder>,,Prevention of the relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),<Neuromyelitis Optica Spectrum Disorder>,,"Zenyaku Kogyo Co., Ltd.",Zenyaku,
"RINVOQ is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis, who had an inadequate response or are intolerant to a treatment with one or more conventional synthetic disease-modifying anti-rheumatic drugs (csDMARD).",<Rheumatoid Arthritis>,,RINVOQ is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis.,<Rheumatoid Arthritis>,,AbbVie AG,AbbVie,
"Treatment of intra-abdominal infections, community acquired pneumonia, acute gynaecological infections, diabetic foot infections of the skin and soft tissue; prophylaxis of surgical site infection following elective colorectal surgery",<Intraabdominal Infections>; <Pneumonia>; <Gynecologic Infections>; <Diabetic Foot>; <Surgical Wound Infection>,,"Treatment of intra-abdominal infections, community acquired pneumonia, acute gynaecological infections, diabetic foot infections of the skin and soft tissue; prophylaxis of surgical site infection following elective colorectal surgery",<Intraabdominal Infections>; <Pneumonia>; <Gynecologic Infections>; <Diabetic Foot>; <Surgical Wound Infection>,,SUN Pharmaceutical Industries (Europe) B.V.,SUN,
Rheumatoid arthritis; Juvenile idiopathic arthritis; Enthesitis-related arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Hidradenitis suppurativa; Crohn’s disease; Ulcerative colitis; Uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Arthritis>; <Spondylarthropathies>; <Psoriatic Arthritis>; <Psoriasis>; <Hidradenitis Suppurativa>; <Crohn Disease>; <Colitis, Ulcerative>; <Uveitis>",,Rheumatoid arthritis; Juvenile idiopathic arthritis; Enthesitis-related arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Hidradenitis suppurativa; Crohn’s disease; Ulcerative colitis; Uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Spondylarthropathies>; <Spondylarthropathies>; <Arthritis, Psoriatic>; <Psoriasis>; <Hidradenitis Suppurativa>; <Crohn Disease>; <Colitis, Ulcerative>; <Uveitis>",,Pfizer Europe MA EEIG,Pfizer,
